Symbol,Side,EntryTime,PeakTime,ExitTime,Leverage,EntryPrice,ExitPrice,PnL,PnL%,PeakROI,Reason
BNB/USDT,buy,2020-07-19 08:00:00+00:00,2020-08-02 00:00:00+00:00,2020-08-02 00:00:00+00:00,50,17.773,22.21625,59.74127821388586,1244.3750000000002,1250.0,HalfTP10%
BNB/USDT,buy,2020-07-19 08:00:00+00:00,2020-08-02 00:00:00+00:00,2020-08-02 04:00:00+00:00,50,17.773,19.017110000000002,36.33125877034117,324.32500000000044,1259.494739211163,SL
DOGE/USDT,buy,2020-08-11 04:00:00+00:00,2020-08-11 04:00:00+00:00,2020-08-11 08:00:00+00:00,50,0.003558,0.003469527,-51.45193319876818,-129.26751475548062,42.158516020236206,SL
BNB/USDT,buy,2020-08-03 08:00:00+00:00,2020-08-05 08:00:00+00:00,2020-08-11 16:00:00+00:00,50,21.602,20.852127,-54.451349538323804,-190.97885924914394,450.88417739098236,SL
DOGE/USDT,buy,2020-08-14 12:00:00+00:00,2020-08-15 00:00:00+00:00,2020-08-16 12:00:00+00:00,50,0.003517,0.00345654,-52.6213270250539,-93.91096104634606,170.59994313335213,SL
ZEC/USDT,buy,2020-07-06 12:00:00+00:00,2020-08-06 16:00:00+00:00,2020-08-18 12:00:00+00:00,50,53.58,83.36,1033.9517630074665,2708.1325121313926,4611.795446061964,TrendExit
ZEC/USDT,sell,2020-08-19 00:00:00+00:00,2020-08-19 00:00:00+00:00,2020-08-19 00:00:00+00:00,50,83.31,84.63454999999999,-64.26041339449871,-84.53500630176364,270.67578922098215,SL
ETH/USDT,buy,2020-07-21 04:00:00+00:00,2020-08-17 16:00:00+00:00,2020-08-21 20:00:00+00:00,100,237.12,388.27,2313.004656361701,6266.2223768556,8935.560053981106,TrendExit
BNB/USDT,buy,2020-08-14 12:00:00+00:00,2020-08-17 16:00:00+00:00,2020-08-21 20:00:00+00:00,50,22.708,22.122,-21.77410137933903,-144.9649022370961,302.3163642769071,TrendExit
ETH/USDT,buy,2020-08-24 12:00:00+00:00,2020-08-24 20:00:00+00:00,2020-08-25 00:00:00+00:00,100,407.19,401.69,-46.454050737139696,-146.0045433335796,86.20054520002924,TrendExit
BNB/USDT,sell,2020-08-25 16:00:00+00:00,2020-08-25 16:00:00+00:00,2020-08-27 08:00:00+00:00,50,21.717,22.535512999999998,-91.21943104351415,-196.04405684486872,165.07804945434427,SL
ETH/USDT,sell,2020-08-25 08:00:00+00:00,2020-08-25 16:00:00+00:00,2020-08-29 04:00:00+00:00,100,395.71,403.80339999999995,-96.73283144394443,-225.63083318591706,646.1802835409768,SL
ZEC/USDT,sell,2020-08-25 12:00:00+00:00,2020-08-27 16:00:00+00:00,2020-08-29 16:00:00+00:00,50,78.21,79.75968,-97.46549232400082,-110.12126582278579,492.9037207518216,SL
ZEC/USDT,sell,2020-09-02 16:00:00+00:00,2020-09-03 20:00:00+00:00,2020-09-03 20:00:00+00:00,50,74.23,55.6725,87.23571949598085,1245.6250000000007,1250.0,HalfTP10%
BNB/USDT,sell,2020-09-03 16:00:00+00:00,2020-09-05 16:00:00+00:00,2020-09-06 16:00:00+00:00,50,22.334,23.19,-30.38037804152106,-201.23188860034006,994.8956747559771,TrendExit
ETH/USDT,sell,2020-09-16 04:00:00+00:00,2020-09-16 04:00:00+00:00,2020-09-16 04:00:00+00:00,100,359.33,365.55519,-89.7676998129116,-183.33099365485845,18.92410875796641,SL
ETH/USDT,sell,2020-09-20 20:00:00+00:00,2020-09-20 20:00:00+00:00,2020-09-21 00:00:00+00:00,100,370.92,373.57319999999993,-95.4508409239055,-81.56601423487231,141.00075487975894,SL
ZEC/USDT,sell,2020-09-02 16:00:00+00:00,2020-09-23 20:00:00+00:00,2020-09-29 16:00:00+00:00,50,74.23,59.77,151.80753458985066,928.9867304324392,1609.1876599757509,TrendExit
ZEC/USDT,buy,2020-10-03 04:00:00+00:00,2020-10-03 04:00:00+00:00,2020-10-03 04:00:00+00:00,50,63.73,62.76717,-89.95615955794457,-80.5020072964065,12.55295779067972,SL
ETH/USDT,sell,2020-10-02 08:00:00+00:00,2020-10-02 08:00:00+00:00,2020-10-05 00:00:00+00:00,100,342.16,354.69433999999995,-88.60100247053867,-384.5129521276576,238.19265840542533,SL
BNB/USDT,buy,2020-10-03 20:00:00+00:00,2020-10-05 00:00:00+00:00,2020-10-06 12:00:00+00:00,50,28.006,27.587384999999998,-93.27469113679035,-83.69929524030648,210.49060915518078,SL
ETH/USDT,sell,2020-10-06 12:00:00+00:00,2020-10-06 12:00:00+00:00,2020-10-06 12:00:00+00:00,100,346.0,353.7433899999999,-85.8923259983328,-233.90929754335033,152.8901734104052,SL
DOGE/USDT,sell,2020-08-31 08:00:00+00:00,2020-09-24 00:00:00+00:00,2020-10-10 00:00:00+00:00,50,0.003258,0.002684,1345.0073572164483,816.8489871086554,1132.5966850828727,TrendExit
ETH/USDT,buy,2020-10-12 16:00:00+00:00,2020-10-12 20:00:00+00:00,2020-10-16 04:00:00+00:00,100,385.85,365.17446,-100.3150370380995,-555.5760588311524,248.28301153297875,SL
ZEC/USDT,buy,2020-10-09 16:00:00+00:00,2020-10-12 12:00:00+00:00,2020-10-16 08:00:00+00:00,50,64.92,62.277660000000004,-85.79178400788234,-218.4056400184838,839.4947627849654,SL
AVAX/USDT,buy,2020-10-17 16:00:00+00:00,2020-10-17 16:00:00+00:00,2020-10-17 16:00:00+00:00,50,4.1184,4.0343616,-99.00610698152396,-106.97695804195766,2.5495337995332488,SL
AVAX/USDT,sell,2020-10-17 20:00:00+00:00,2020-10-17 20:00:00+00:00,2020-10-17 20:00:00+00:00,50,4.0678,4.155150999999999,-97.57452129300734,-112.42253244997241,9.710408574659816,SL
AVAX/USDT,buy,2020-10-18 00:00:00+00:00,2020-10-18 08:00:00+00:00,2020-10-18 16:00:00+00:00,50,4.1927,4.0859,-72.36686145067043,-133.30054618742193,64.03987883702635,TrendExit
DOGE/USDT,sell,2020-10-13 16:00:00+00:00,2020-10-16 08:00:00+00:00,2020-10-19 04:00:00+00:00,50,0.002644,0.002586,185.59023361687778,96.7371406959153,177.7609682299544,RevLow
BNB/USDT,buy,2020-10-09 08:00:00+00:00,2020-10-16 00:00:00+00:00,2020-10-20 16:00:00+00:00,50,28.178,28.654,57.895621293623066,62.42082475690207,658.8473277024624,TrendExit
DOGE/USDT,sell,2020-10-19 20:00:00+00:00,2020-10-19 20:00:00+00:00,2020-10-21 00:00:00+00:00,50,0.002595,0.0026236209999999996,-104.43756998895638,-61.674008670518944,30.828516377649233,SL
ZEC/USDT,buy,2020-10-22 12:00:00+00:00,2020-10-22 16:00:00+00:00,2020-10-23 00:00:00+00:00,50,66.29,63.89604,-95.58244196415883,-185.97692110423992,66.37501885653909,SL
ZEC/USDT,sell,2020-10-23 20:00:00+00:00,2020-10-24 08:00:00+00:00,2020-10-24 16:00:00+00:00,50,62.83,64.04397999999999,-97.34256105656637,-102.65661228712337,93.10838771287615,SL
DOGE/USDT,buy,2020-10-25 04:00:00+00:00,2020-10-25 04:00:00+00:00,2020-10-25 04:00:00+00:00,50,0.002662,0.00262737,-97.29367369748024,-70.0125563486098,15.026296018031923,SL
SOL/USDT,sell,2020-10-13 20:00:00+00:00,2020-10-25 20:00:00+00:00,2020-10-25 20:00:00+00:00,50,2.365,1.7737500000000002,195.5558307390144,1245.6250000000002,1250.0,HalfTP10%
DOGE/USDT,buy,2020-10-25 16:00:00+00:00,2020-10-26 00:00:00+00:00,2020-10-27 08:00:00+00:00,50,0.002651,0.00261738,-99.67716147806799,-70.87832893247857,492.26706903055447,SL
AVAX/USDT,buy,2020-10-22 04:00:00+00:00,2020-10-26 08:00:00+00:00,2020-10-28 04:00:00+00:00,50,4.0762,4.0357,-30.07613744578425,-63.653782935086475,508.4392326186157,TrendExit
BNB/USDT,buy,2020-10-22 04:00:00+00:00,2020-10-27 16:00:00+00:00,2020-10-29 08:00:00+00:00,50,30.005,29.805,-53.35004610063852,-48.811114814198106,407.09881686385626,TrendExit
ETH/USDT,buy,2020-10-21 08:00:00+00:00,2020-10-22 20:00:00+00:00,2020-10-30 04:00:00+00:00,100,379.44,378.61,-25.08757158090008,-57.86340396373701,1119.017499472907,TrendExit
ETH/USDT,sell,2020-11-02 12:00:00+00:00,2020-11-03 04:00:00+00:00,2020-11-03 20:00:00+00:00,100,384.23,388.11,-22.84648490544394,-115.03167373708443,370.351091793978,TrendExit
SOL/USDT,sell,2020-10-13 20:00:00+00:00,2020-11-04 16:00:00+00:00,2020-11-06 16:00:00+00:00,50,2.365,1.8026,420.93824207119013,1149.1008456659622,2307.188160676533,TrendExit
ZEC/USDT,sell,2020-10-25 08:00:00+00:00,2020-11-03 04:00:00+00:00,2020-11-06 20:00:00+00:00,50,63.4,61.66,72.89606519594747,113.79258675078911,932.1766561514196,TrendExit
AVAX/USDT,sell,2020-11-08 08:00:00+00:00,2020-11-08 08:00:00+00:00,2020-11-08 08:00:00+00:00,50,3.4193,3.4859824999999995,-99.81767036841909,-102.55774756529101,0.0,SL
ZEC/USDT,sell,2020-11-07 20:00:00+00:00,2020-11-07 20:00:00+00:00,2020-11-08 12:00:00+00:00,50,56.2,60.02996999999999,-96.62237040552013,-346.915034252668,39.14590747331004,SL
ZEC/USDT,buy,2020-11-08 16:00:00+00:00,2020-11-08 16:00:00+00:00,2020-11-09 04:00:00+00:00,50,61.08,58.30164,-94.63772227141537,-232.82243123772147,66.30648330058958,SL
AVAX/USDT,sell,2020-11-09 08:00:00+00:00,2020-11-09 08:00:00+00:00,2020-11-09 08:00:00+00:00,50,3.3923,3.4725691,-95.16798447351323,-123.36988849747945,98.75305839695807,SL
ZEC/USDT,sell,2020-11-09 16:00:00+00:00,2020-11-09 16:00:00+00:00,2020-11-10 00:00:00+00:00,50,57.42,61.020959999999995,-91.70072895420093,-319.219999999999,39.18495297805668,SL
AVAX/USDT,sell,2020-11-09 16:00:00+00:00,2020-11-09 16:00:00+00:00,2020-11-10 00:00:00+00:00,50,3.3307,3.5360324999999997,-91.72800258465635,-313.8963825171882,28.07217701984625,SL
ZEC/USDT,buy,2020-11-10 04:00:00+00:00,2020-11-10 04:00:00+00:00,2020-11-10 20:00:00+00:00,50,61.19,59.12,-55.02480108351299,-175.0607125347279,118.4834123222751,TrendExit
DOGE/USDT,buy,2020-11-10 16:00:00+00:00,2020-11-11 04:00:00+00:00,2020-11-12 00:00:00+00:00,50,0.002775,0.002719278,-93.85930301726606,-107.34980000000076,172.97297297297249,SL
AVAX/USDT,sell,2020-11-12 12:00:00+00:00,2020-11-12 16:00:00+00:00,2020-11-13 16:00:00+00:00,50,3.4065,3.5781745999999996,-88.18118945578769,-258.6069092910611,135.4762953177746,SL
SOL/USDT,buy,2020-11-15 12:00:00+00:00,2020-11-15 16:00:00+00:00,2020-11-15 20:00:00+00:00,50,2.1254,2.0260719,-86.77359306238145,-239.05235708572542,234.77933565446529,SL
BNB/USDT,sell,2020-11-07 20:00:00+00:00,2020-11-07 20:00:00+00:00,2020-11-17 04:00:00+00:00,50,27.412,28.57,-68.16248976756965,-230.32697358820943,102.3274478330658,TrendExit
BNB/USDT,buy,2020-11-17 08:00:00+00:00,2020-11-18 00:00:00+00:00,2020-11-18 00:00:00+00:00,50,28.57,28.290681,-93.01457231185161,-54.85882752887713,47.252362618130825,SL
ZEC/USDT,buy,2020-11-16 08:00:00+00:00,2020-11-18 00:00:00+00:00,2020-11-18 04:00:00+00:00,50,63.54,61.85808,-88.43805774474535,-139.78509915014138,347.02549575070856,SL
ZEC/USDT,buy,2020-11-19 00:00:00+00:00,2020-11-19 00:00:00+00:00,2020-11-19 04:00:00+00:00,50,63.23,61.48845,-83.50124887936418,-142.64662541515082,18.978333069745535,SL
BNB/USDT,sell,2020-11-18 16:00:00+00:00,2020-11-18 20:00:00+00:00,2020-11-19 12:00:00+00:00,50,27.969,28.358329999999995,-87.60452271013453,-75.63507186527836,67.39604562193901,SL
ETH/USDT,buy,2020-11-04 20:00:00+00:00,2020-11-20 08:00:00+00:00,2020-11-20 08:00:00+00:00,100,403.12,503.9,120.07490686851898,2488.749999999998,2500.0,HalfTP10%
DOGE/USDT,buy,2020-11-22 20:00:00+00:00,2020-11-22 20:00:00+00:00,2020-11-23 00:00:00+00:00,50,0.003466,0.003250746,-81.22460447794775,-315.36695470282734,87.99769186382038,SL
ZEC/USDT,buy,2020-11-20 04:00:00+00:00,2020-11-23 16:00:00+00:00,2020-11-23 16:00:00+00:00,50,63.25,79.0625,210.37990869614987,1244.375000000001,1250.0,HalfTP10%
SOL/USDT,buy,2020-11-21 08:00:00+00:00,2020-11-21 16:00:00+00:00,2020-11-26 00:00:00+00:00,50,2.1666,2.0292687,-82.96502516279298,-328.7696721822213,816.4866611280349,SL
ZEC/USDT,buy,2020-11-20 04:00:00+00:00,2020-11-24 16:00:00+00:00,2020-11-26 08:00:00+00:00,50,63.25,67.67750000000001,132.47770430006807,335.82500000000016,2124.901185770751,SL
BNB/USDT,buy,2020-11-20 12:00:00+00:00,2020-11-25 00:00:00+00:00,2020-11-26 08:00:00+00:00,50,28.972,28.054917,-86.75860499511982,-171.691436300566,1113.3163053983155,SL
AVAX/USDT,sell,2020-11-26 04:00:00+00:00,2020-11-26 08:00:00+00:00,2020-11-29 12:00:00+00:00,50,3.5351,3.7192,-27.572042351458528,-270.5188679245281,352.46527679556465,TrendExit
SOL/USDT,sell,2020-11-26 04:00:00+00:00,2020-11-26 08:00:00+00:00,2020-12-01 04:00:00+00:00,50,1.9191,2.1194,-42.06959272966152,-534.6201344380181,539.5758428429996,TrendExit
AVAX/USDT,sell,2020-12-01 20:00:00+00:00,2020-12-01 20:00:00+00:00,2020-12-01 20:00:00+00:00,50,3.6,3.6527490999999994,-85.77251088137712,-78.29927020833253,68.61111111111096,SL
AVAX/USDT,buy,2020-12-02 12:00:00+00:00,2020-12-02 12:00:00+00:00,2020-12-02 12:00:00+00:00,50,3.7786,3.6798165,-82.17226754303906,-135.64906082940772,2.3818345418941482,SL
SOL/USDT,sell,2020-12-04 08:00:00+00:00,2020-12-04 08:00:00+00:00,2020-12-04 08:00:00+00:00,50,2.0411,2.0757737,-82.7956463585315,-89.98122789182285,249.13037087844822,SL
ZEC/USDT,buy,2020-12-07 04:00:00+00:00,2020-12-07 16:00:00+00:00,2020-12-08 08:00:00+00:00,50,74.78,72.77714999999999,-80.82562631540998,-140.34919597486015,137.73736293126518,SL
ETH/USDT,buy,2020-11-04 20:00:00+00:00,2020-12-01 08:00:00+00:00,2020-12-09 04:00:00+00:00,100,403.12,538.65,365.5747788480365,3247.345182575907,5842.925183568168,TrendExit
AVAX/USDT,sell,2020-12-04 12:00:00+00:00,2020-12-09 08:00:00+00:00,2020-12-09 08:00:00+00:00,50,3.5756,2.9767,215.48067918958498,825.9005621434163,1101.213782302271,RevLow
AVAX/USDT,sell,2020-12-11 08:00:00+00:00,2020-12-11 08:00:00+00:00,2020-12-11 08:00:00+00:00,50,3.0532,3.0946916,-89.55060596009552,-72.98170083846462,70.41792218000738,SL
BNB/USDT,sell,2020-12-16 00:00:00+00:00,2020-12-16 08:00:00+00:00,2020-12-16 12:00:00+00:00,50,29.471,29.786756999999998,-90.7404065640255,-59.097583811203755,73.971022360965,SL
SOL/USDT,sell,2020-12-16 12:00:00+00:00,2020-12-16 12:00:00+00:00,2020-12-16 12:00:00+00:00,50,1.6373,1.6855838999999997,-85.08475717011714,-152.52348973920357,69.93220546020864,SL
AVAX/USDT,sell,2020-12-16 12:00:00+00:00,2020-12-16 12:00:00+00:00,2020-12-16 12:00:00+00:00,50,3.1742,3.2071038999999995,-90.23050608058439,-56.856140051035666,37.962321214793946,SL
SOL/USDT,sell,2020-12-18 04:00:00+00:00,2020-12-18 04:00:00+00:00,2020-12-18 04:00:00+00:00,50,1.6682,1.6869853,-85.97730704753259,-61.3322522779041,53.350917156215736,SL
SOL/USDT,sell,2020-12-18 12:00:00+00:00,2020-12-18 16:00:00+00:00,2020-12-19 00:00:00+00:00,50,1.6809,1.7121103999999998,-82.50519446506631,-98.38477958236584,123.74323279195694,SL
ETH/USDT,buy,2020-12-13 08:00:00+00:00,2020-12-17 16:00:00+00:00,2020-12-22 04:00:00+00:00,100,579.3,596.2,77.74826269897456,255.58553426549375,1707.2328672535832,TrendExit
